序号,求职者id,姓名,期望岗位,性别,年龄,居住地址,工作经验,自我评价,期望薪资低,期望薪资高,工作性质,期望行业,工作地区,到岗时间,简历关键词,学历,学科专业,学历数值,工作经验数值,自我评价-分词
5435,7536348679216229908,黄用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5436,7536348683511197204,叶用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5437,7536348692101131796,刘用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5438,7536348700691066388,李用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5439,7536348704986033684,汪用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5440,7536348713575968276,魏用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5441,7533300820099132948,赵用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5442,7533300824394100244,赵用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5443,7533300832984034836,张用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5444,7533300837279002132,温用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5445,7533300845868936724,彭用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5446,7533300854458871316,温用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5447,7533300858753838612,莫用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5448,7533300867343773204,杨用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5449,7533300871638740500,杨用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5450,7533300880228675092,陈用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5451,7533300884523642388,姚用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5452,7533300893113576980,徐用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5453,7533300901703511572,谭用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5454,7533300905998478868,代用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5455,7533300914588413460,冯用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5456,7533300918883380756,陈用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5457,7533300927473315348,李用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5458,7533300931768282644,王用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5459,7533300940358217236,黄用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5460,7533257879016107540,张用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5461,7533257887606042132,陈用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5462,7533257896195976724,潘用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5463,7533257900490944020,蒋用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5464,7533257909080878612,赵用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5465,7533257913375845908,陈用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5466,7533257921965780500,赵用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5467,7533257930555715092,林用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5468,7533257934850682388,刘用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5469,7533257939145649684,郝用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5470,7533257947735584276,伏用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5471,7536305755313073684,张用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5472,7536305763903008276,李用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5473,7536305768197975572,廖用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5474,7536305776787910164,祁用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5475,7536219976226237972,谢用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5476,7536219980521205268,梁用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5477,7536262646726323732,高用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5478,7536262651021291028,方用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5479,7536262659611225620,程用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5480,7536262663906192916,柴用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5481,7536262672496127508,黄用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5482,7536262676791094804,陈用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5483,7536262685381029396,叶用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5484,7536262693970963988,潘用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5485,7536262698265931284,吴用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5486,7536262706855865876,何用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5487,7536262711150833172,李用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5488,7536262719740767764,林用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5489,7536262728330702356,林用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5490,7536262732625669652,黄用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5491,7536262741215604244,吴用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5492,7536262745510571540,林用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5493,7536262754100506132,于用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5494,7536262762690440724,麦用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5495,7536262766985408020,许用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5496,7536262775575342612,官用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5497,7536262779870309908,李用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5498,7536262788460244500,黄用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5499,7536262797050179092,赵用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5500,7536262801345146388,姜用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5501,7536219787247676948,李用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5502,7536219795837611540,林用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5503,7536219800132578836,张用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5504,7536219808722513428,刘用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5505,7536219817312448020,周用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5506,7536219821607415316,邹用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5507,7536219830197349908,徐用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5508,7536219834492317204,许用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5509,7536219843082251796,王用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5510,7536219851672186388,赖用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5511,7536219855967153684,宋用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5512,7536219864557088276,申用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5513,7536219868852055572,孙用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5514,7536219877441990164,王用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5515,7536219881736957460,刘用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5516,7536219890326892052,王用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5517,7536219898916826644,蔡用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5518,7536219903211793940,谢用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5519,7536219911801728532,刘用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5520,7536219916096695828,黄用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5521,7536219924686630420,廖用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5522,7536219933276565012,查用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5523,7536219937571532308,张用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5524,7536219946161466900,邓用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5525,7536219950456434196,张用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5526,7532914650999614996,张用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5527,7532914655294582292,颜用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5528,7532914663884516884,王用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5529,7532914672474451476,卫用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5530,7532914676769418772,宋用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5531,7532914685359353364,区用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5532,7532914689654320660,魏用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5533,7532914698244255252,李用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5534,7532914706834189844,吴用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5535,7532957231305387540,张用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5536,7532957239895322132,秦用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5537,7532957244190289428,刘用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5538,7532957252780224020,林用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5539,7532957261370158612,黄用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5540,7532957265665125908,吴用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5541,7532957274255060500,李用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5542,7532957278550027796,高用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5543,7532957287139962388,伍用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5544,7532871752866262548,刘用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5545,7532871761456197140,何用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5546,7532871765751164436,黄用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5547,7532871774341099028,邱用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5548,7532871778636066324,黄用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5549,7532914444841184788,郑用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5550,7532914453431119380,覃用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5551,7532914457726086676,陈用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5552,7532914466316021268,霍用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5553,7532914470610988564,温用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5554,7532914479200923156,彭用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5555,7532914487790857748,吴用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5556,7532914492085825044,钟用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5557,7532914500675759636,伍用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5558,7532914504970726932,吴用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5559,7532914513560661524,肖用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5560,7532914522150596116,潘用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5561,7533172138583977492,陆用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5562,7533172142878944788,张用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5563,7533172151468879380,黎用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5564,7533172155763846676,江用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5565,7533172164353781268,梁用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5566,7533172168648748564,倪用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5567,7533129210385853972,贾用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5568,7533129218975788564,庄用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5569,7533129223270755860,万用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5570,7533129231860690452,梁用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5571,7533129236155657748,陈用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5572,7533129244745592340,李用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5573,7533129253335526932,张用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5574,7533129257630494228,贾用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5575,7533129266220428820,孙用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5576,7533129274810363412,刘用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5577,7533129279105330708,严用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5578,7533129287695265300,杨用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5579,7533129291990232596,熊用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5580,7533129300580167188,杨用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5581,7533129309170101780,贾用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5582,7533129313465069076,陈用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5583,7533129322055003668,何用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5584,7533129326349970964,姚用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5585,7533129334939905556,卢用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5586,7533129339234872852,梁用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5587,7533129347824807444,贺用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5588,7533129352119774740,苗用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5589,7533129360709709332,李用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5590,7533171966785285652,谢用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5591,7533171971080252948,陈用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5592,7533171979670187540,缪用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5593,7533171983965154836,张用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5594,7533086273597795860,李用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5595,7533086282187730452,刘用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5596,7533086286482697748,吴用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5597,7533086295072632340,李用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5598,7533086303662566932,高用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5599,7533086307957534228,袁用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
5600,7533086312252501524,刘用户,"[""数据分析师"",""数据挖掘工程师""]",无,无,无,无,无,4000,6000,1,"[""互联网""]",无,无,[],无,无,0,0,['无']
